Unnamed: 0,hour,day_of_week,is_weekend,is_holiday,temperature,precipitation,wind_speed,congestion
41,18.0,2.0,0,0,28.23,0.01,3.04,80.71
42,18.0,2.0,0,0,27.95,0.0,3.06,78.44
43,20.0,4.0,0,1,22.18,7.73,2.05,27.13
44,8.0,0.0,0,0,29.29,0.08,4.49,71.6
45,14.0,5.0,1,0,31.79,0.0,6.01,33.32
46,8.0,0.0,0,0,29.53,0.02,4.53,70.37
47,20.0,4.0,0,1,22.52,7.98,1.97,27.28
48,9.0,6.0,1,0,23.77,2.89,4.94,42.56
49,8.0,0.0,0,0,29.43,0.02,4.49,73.15
50,8.0,0.0,0,0,29.28,0.14,4.65,73.36
51,9.0,6.0,1,0,23.79,3.24,4.98,40.86
52,8.0,0.0,0,0,29.62,0.09,4.47,70.15
53,18.0,2.0,0,0,28.37,0.21,2.99,78.42
54,18.0,2.0,0,0,28.67,0.01,3.07,80.48
55,18.0,2.0,0,0,28.11,0.0,3.01,79.58
56,9.0,6.0,1,0,24.04,3.16,5.03,42.86
57,18.0,2.0,0,0,27.98,0.0,2.96,77.6
58,18.0,2.0,0,0,28.01,0.03,3.06,78.42
59,18.0,2.0,0,0,28.09,0.0,2.93,80.26
60,9.0,6.0,1,0,24.08,3.19,4.84,43.12
61,14.0,5.0,1,0,32.0,0.02,6.09,33.59
62,20.0,4.0,0,1,22.44,7.83,1.94,29.41
63,8.0,0.0,0,0,29.73,0.0,4.55,71.98
64,9.0,6.0,1,0,24.07,3.18,4.99,43.78
65,20.0,4.0,0,1,22.34,7.87,1.9,28.88
66,8.0,0.0,0,0,29.82,0.06,4.51,72.38
67,20.0,4.0,0,1,22.21,7.79,1.89,28.68
68,20.0,4.0,0,1,22.51,7.93,1.95,29.99
69,20.0,4.0,0,1,22.56,7.86,1.94,27.4
70,20.0,4.0,0,1,22.3,7.95,2.02,27.75
71,20.0,4.0,0,1,22.2,7.78,1.94,28.55
72,20.0,4.0,0,1,22.31,8.15,2.03,28.66
73,8.0,0.0,0,0,29.38,0.0,4.6,71.58
74,18.0,2.0,0,0,28.49,0.0,2.94,78.29
75,18.0,2.0,0,0,27.97,0.0,2.91,78.11
76,8.0,0.0,0,0,29.39,0.0,4.39,73.0
77,14.0,5.0,1,0,32.13,0.23,6.05,34.06
78,20.0,4.0,0,1,22.24,7.82,1.99,30.17
79,14.0,5.0,1,0,31.7,0.21,5.99,35.47
80,8.0,0.0,0,0,29.56,0.3,4.52,72.5
81,20.0,4.0,0,1,22.24,7.75,1.9,29.15
82,18.0,2.0,0,0,27.95,0.0,3.02,81.0
83,14.0,5.0,1,0,32.17,0.0,6.03,35.58
84,20.0,4.0,0,1,22.57,8.14,1.97,28.25
85,18.0,2.0,0,0,27.79,0.23,3.06,78.76
86,8.0,0.0,0,0,29.41,0.21,4.57,72.64
87,9.0,6.0,1,0,24.22,3.18,5.01,41.21
88,14.0,5.0,1,0,31.68,0.14,5.84,36.28
89,14.0,5.0,1,0,32.07,0.0,5.96,33.11
90,14.0,5.0,1,0,32.08,0.0,5.9,34.72
91,18.0,2.0,0,0,27.95,0.0,2.9,78.7
92,18.0,2.0,0,0,28.08,0.01,3.04,80.14
93,14.0,5.0,1,0,32.15,0.0,5.95,34.79
94,18.0,2.0,0,0,28.13,0.25,2.98,79.03
95,14.0,5.0,1,0,32.1,0.05,6.22,35.35
96,18.0,2.0,0,0,27.89,0.0,3.02,78.4
97,8.0,0.0,0,0,29.22,0.03,4.48,70.14
98,8.0,0.0,0,0,29.34,0.0,4.67,73.34
99,8.0,0.0,0,0,29.14,0.17,4.55,72.0
100,14.0,5.0,1,0,31.75,0.09,5.95,33.7
101,8.0,0.0,0,0,29.51,0.0,4.52,72.25
102,18.0,2.0,0,0,28.24,0.02,3.13,78.82
103,18.0,2.0,0,0,28.46,0.25,3.07,78.12
104,9.0,6.0,1,0,24.05,2.77,4.97,41.39
105,20.0,4.0,0,1,22.44,8.0,2.06,26.87
106,18.0,2.0,0,0,28.46,0.31,3.04,77.86
107,20.0,4.0,0,1,22.73,7.91,1.98,28.76
108,9.0,6.0,1,0,24.03,3.21,5.03,43.32
109,14.0,5.0,1,0,31.89,0.09,5.98,33.87
110,14.0,5.0,1,0,32.13,0.04,6.06,32.45
111,14.0,5.0,1,0,32.13,0.35,6.14,32.58
112,18.0,2.0,0,0,28.26,0.01,2.94,79.19
113,14.0,5.0,1,0,31.84,0.0,6.04,35.48
114,14.0,5.0,1,0,31.91,0.06,5.92,33.36
115,9.0,6.0,1,0,24.27,3.26,4.98,42.55
116,9.0,6.0,1,0,24.4,3.05,5.23,41.89
117,9.0,6.0,1,0,24.17,3.35,5.1,42.73
118,14.0,5.0,1,0,32.21,0.06,5.99,34.53
119,18.0,2.0,0,0,28.13,0.41,2.99,78.95
120,9.0,6.0,1,0,24.21,3.31,4.96,41.51
121,8.0,0.0,0,0,29.48,0.12,4.68,72.84
122,8.0,0.0,0,0,29.36,0.1,4.53,73.65
123,9.0,6.0,1,0,24.15,3.21,4.91,40.37
124,8.0,0.0,0,0,29.42,0.01,4.49,72.62
125,9.0,6.0,1,0,24.14,3.18,5.08,39.81
126,9.0,6.0,1,0,24.01,2.97,5.0,42.14
127,9.0,6.0,1,0,23.76,3.22,4.92,40.55
128,14.0,5.0,1,0,32.04,0.0,5.96,33.64
129,14.0,5.0,1,0,32.25,0.0,5.85,32.93
130,9.0,6.0,1,0,24.05,3.16,4.99,42.24
131,18.0,2.0,0,0,28.04,0.0,3.03,78.11
132,8.0,0.0,0,0,29.21,0.05,4.5,70.85
133,8.0,0.0,0,0,29.41,0.08,4.41,73.03
134,14.0,5.0,1,0,31.95,0.0,5.96,33.94
135,8.0,0.0,0,0,29.56,0.0,4.57,72.11
136,9.0,6.0,1,0,24.18,3.12,4.98,41.6
137,20.0,4.0,0,1,22.52,7.66,1.87,28.04
138,9.0,6.0,1,0,24.17,3.2,4.98,43.08
139,8.0,0.0,0,0,29.88,0.11,4.46,71.87
140,9.0,6.0,1,0,24.2,3.38,5.01,43.05
141,8.0,0.0,0,0,29.57,0.0,4.57,72.78
142,18.0,2.0,0,0,28.02,0.0,3.07,77.96
143,20.0,4.0,0,1,22.12,8.08,1.99,29.43
144,18.0,2.0,0,0,27.77,0.0,3.01,78.67
145,14.0,5.0,1,0,31.84,0.0,5.93,35.28
146,18.0,2.0,0,0,28.19,0.0,3.0,77.75
147,9.0,6.0,1,0,24.05,3.16,5.03,40.62
148,8.0,0.0,0,0,29.53,0.0,4.64,72.25
149,14.0,5.0,1,0,32.09,0.08,5.92,35.15
150,14.0,5.0,1,0,32.18,0.0,6.02,36.2
151,14.0,5.0,1,0,32.15,0.1,6.09,35.29
152,8.0,0.0,0,0,29.55,0.12,4.48,72.43
153,18.0,2.0,0,0,27.88,0.41,2.95,78.53
154,14.0,5.0,1,0,31.99,0.11,6.0,34.23
155,18.0,2.0,0,0,28.34,0.2,3.06,76.84
156,14.0,5.0,1,0,31.81,0.2,5.98,34.34
157,8.0,0.0,0,0,29.86,0.08,4.51,74.06
158,9.0,6.0,1,0,24.01,3.37,4.96,43.15
159,8.0,0.0,0,0,29.21,0.09,4.44,72.09
160,9.0,6.0,1,0,23.84,3.32,4.98,40.87
161,9.0,6.0,1,0,24.12,3.45,5.03,41.44
162,8.0,0.0,0,0,29.33,0.0,4.54,70.73
163,14.0,5.0,1,0,31.98,0.01,6.08,33.86
164,14.0,5.0,1,0,31.72,0.01,5.96,33.59
165,14.0,5.0,1,0,32.08,0.08,5.91,34.79
166,9.0,6.0,1,0,24.25,3.11,4.94,42.18
167,20.0,4.0,0,1,22.34,7.76,2.11,30.44
168,8.0,0.0,0,0,29.23,0.0,4.46,72.27
169,18.0,2.0,0,0,28.2,0.17,2.94,79.01
170,14.0,5.0,1,0,31.99,0.28,5.96,34.43
171,20.0,4.0,0,1,22.75,7.92,1.97,29.67
172,14.0,5.0,1,0,32.07,0.1,6.08,34.27
173,14.0,5.0,1,0,32.07,0.11,6.04,35.08
174,14.0,5.0,1,0,31.88,0.08,5.97,33.35
175,18.0,2.0,0,0,28.17,0.06,2.98,78.9
176,14.0,5.0,1,0,32.0,0.01,6.05,32.82
177,14.0,5.0,1,0,31.93,0.0,6.0,33.86
178,9.0,6.0,1,0,24.11,3.23,4.97,41.9
179,8.0,0.0,0,0,29.63,0.15,4.45,72.26
180,18.0,2.0,0,0,28.17,0.0,2.99,76.81
181,18.0,2.0,0,0,28.22,0.0,3.09,79.01
182,18.0,2.0,0,0,27.97,0.11,3.03,79.15
183,9.0,6.0,1,0,23.73,3.09,5.0,41.95
184,18.0,2.0,0,0,27.88,0.23,2.99,80.05
185,8.0,0.0,0,0,29.56,0.07,4.54,72.76
186,14.0,5.0,1,1,31.88,0.15,5.99,32.82
187,8.0,0.0,0,0,29.25,0.1,4.39,72.62
188,20.0,4.0,0,1,22.45,7.9,1.97,26.66
189,18.0,2.0,0,0,27.93,0.25,3.09,79.66
190,8.0,0.0,0,0,29.5,0.0,4.48,71.89
191,9.0,6.0,1,0,24.09,3.48,4.94,41.74
192,8.0,0.0,0,0,29.42,0.17,4.55,71.3
193,18.0,2.0,0,0,28.35,0.14,3.0,78.24
194,18.0,2.0,0,0,28.33,0.09,2.98,81.37
195,9.0,6.0,1,0,24.24,3.27,4.96,41.68
196,14.0,5.0,1,0,32.12,0.25,5.98,36.42
197,14.0,5.0,1,0,32.09,0.0,6.0,36.4
198,18.0,2.0,0,0,27.87,0.19,2.97,82.07
199,14.0,5.0,1,0,31.91,0.03,6.08,34.09
200,20.0,4.0,0,1,22.37,8.16,2.06,29.39
201,18.0,2.0,0,0,28.14,0.16,3.12,78.43
202,18.0,2.0,0,0,28.33,0.07,2.94,77.5
203,18.0,2.0,0,0,28.35,0.12,3.03,78.2
204,18.0,2.0,0,0,28.16,0.0,2.88,78.85
205,8.0,0.0,0,0,29.38,0.04,4.41,73.4
206,14.0,5.0,1,0,31.77,0.18,5.97,34.56
207,14.0,5.0,1,0,31.97,0.16,5.96,32.2
208,8.0,0.0,0,0,29.22,0.0,4.61,73.17
209,9.0,6.0,1,0,24.25,2.95,5.04,39.49
210,9.0,6.0,1,0,24.19,3.17,5.11,44.07
211,18.0,2.0,0,0,28.04,0.0,3.01,78.41
212,20.0,4.0,0,1,22.27,8.07,1.96,28.61
213,20.0,4.0,0,1,22.65,7.97,2.0,29.01
214,14.0,5.0,1,0,32.37,0.0,6.08,33.13
215,18.0,2.0,0,0,28.21,0.0,2.97,78.29
216,18.0,2.0,0,0,28.08,0.0,3.05,78.37
217,8.0,0.0,0,0,29.7,0.19,4.55,71.13
218,20.0,4.0,0,1,21.97,8.15,2.02,27.46
219,8.0,0.0,0,0,29.68,0.0,4.52,73.77
220,9.0,6.0,1,0,24.22,3.31,4.99,42.49
221,20.0,4.0,0,1,22.25,8.22,1.99,28.73
222,8.0,0.0,0,0,29.7,0.0,4.58,74.38
223,20.0,4.0,0,1,22.02,7.95,1.91,27.98
224,14.0,5.0,1,0,32.08,0.0,6.0,35.86
225,18.0,2.0,0,0,28.02,0.0,2.92,77.33
226,20.0,4.0,0,1,22.27,7.74,2.07,26.36
227,9.0,6.0,1,0,24.14,3.24,5.01,41.64
228,20.0,4.0,0,1,22.05,7.99,2.03,27.46
229,14.0,5.0,1,0,32.01,0.12,5.94,34.37
230,18.0,2.0,0,0,27.99,0.0,2.99,78.74
231,18.0,2.0,0,0,28.0,0.08,3.07,78.22
232,9.0,6.0,1,0,23.85,3.18,4.97,42.88
233,14.0,5.0,1,0,32.45,0.06,6.04,35.39
234,8.0,0.0,0,0,29.28,0.0,4.45,73.22
235,9.0,6.0,1,0,24.18,3.29,4.96,42.14
236,20.0,4.0,0,1,22.39,7.88,1.97,29.07
237,20.0,4.0,0,1,22.52,8.25,1.89,28.87
238,20.0,4.0,0,1,22.42,7.76,1.96,30.54
239,8.0,0.0,0,0,29.6,0.26,4.47,72.09
240,8.0,0.0,0,0,29.21,0.25,4.4,71.05
241,20.0,4.0,0,1,22.16,8.01,1.96,29.32
242,18.0,2.0,0,0,27.91,0.11,2.9,78.71
243,9.0,6.0,1,0,24.12,3.51,4.98,43.47
244,9.0,6.0,1,0,24.23,3.31,4.98,40.48
245,9.0,6.0,1,0,24.23,3.01,4.96,40.26
246,20.0,4.0,0,1,22.45,8.12,2.06,27.42
247,18.0,2.0,0,0,28.18,0.05,3.01,81.43
248,20.0,4.0,0,1,22.16,7.79,1.87,29.12
249,18.0,2.0,0,0,28.17,0.39,3.0,79.76
250,20.0,4.0,0,1,22.3,7.61,2.06,26.25
251,18.0,2.0,0,0,28.15,0.05,2.95,79.92
252,20.0,4.0,0,1,22.43,8.02,1.95,31.3
253,8.0,0.0,0,0,29.75,0.09,4.5,70.95
254,8.0,0.0,0,0,29.36,0.06,4.57,68.83
255,20.0,4.0,0,1,22.39,8.01,1.87,27.94
256,18.0,2.0,0,0,28.23,0.0,2.88,80.19
257,20.0,4.0,0,1,22.26,8.23,2.01,28.25
258,14.0,5.0,1,0,31.87,0.13,6.04,33.25
259,9.0,6.0,1,0,23.73,3.34,5.04,44.05
260,20.0,4.0,0,1,22.28,8.16,1.96,27.4
261,20.0,4.0,0,1,22.37,7.98,1.96,28.2
262,20.0,4.0,0,1,22.2,8.06,1.89,28.79
263,18.0,2.0,0,0,27.89,0.08,2.9,78.12
264,20.0,4.0,0,1,22.09,7.99,2.08,27.72
265,8.0,0.0,0,0,29.68,0.05,4.54,72.18
266,8.0,0.0,0,0,29.58,0.03,4.52,72.13
267,20.0,4.0,0,1,22.3,8.21,1.93,26.38
268,8.0,0.0,0,0,29.51,0.0,4.53,71.61
269,20.0,4.0,0,1,22.44,8.19,1.99,28.7
270,9.0,6.0,1,0,23.86,3.4,4.93,40.34
271,14.0,5.0,1,0,31.92,0.0,6.02,33.47
272,18.0,2.0,0,0,28.21,0.21,2.91,78.38
273,9.0,6.0,1,0,24.11,3.39,4.96,41.74
274,20.0,4.0,0,1,22.29,7.83,2.0,27.56
275,9.0,6.0,1,0,24.04,3.06,4.98,40.9
276,18.0,2.0,0,0,28.2,0.02,2.97,78.56
277,8.0,0.0,0,0,29.26,0.14,4.52,72.57
278,8.0,0.0,0,0,29.88,0.11,4.53,73.94
279,14.0,5.0,1,0,32.2,0.0,6.02,32.44
280,18.0,2.0,0,0,28.17,0.0,2.96,79.5
281,9.0,6.0,1,0,24.05,3.47,5.02,44.37
282,14.0,5.0,1,0,32.18,0.03,5.91,33.96
283,8.0,0.0,0,0,29.6,0.05,4.44,71.66
284,18.0,2.0,0,0,28.15,0.0,3.05,80.38
285,8.0,0.0,0,0,29.62,0.0,4.59,72.39
286,9.0,6.0,1,0,23.86,3.3,4.99,42.13
287,14.0,5.0,1,0,31.98,0.19,5.92,34.21
288,9.0,6.0,1,0,24.1,3.25,4.88,43.19
289,20.0,4.0,0,1,22.23,7.81,2.07,28.34
290,14.0,5.0,1,0,32.02,0.0,6.13,36.13
291,18.0,2.0,0,0,28.39,0.24,2.93,79.3
292,9.0,6.0,1,0,24.12,3.35,5.01,43.21
293,9.0,6.0,1,0,24.06,3.11,4.95,40.36
294,9.0,6.0,1,0,24.03,3.29,5.13,40.6
295,14.0,5.0,1,0,32.15,0.14,6.03,34.25
296,14.0,5.0,1,0,32.03,0.0,6.02,34.05
297,18.0,2.0,0,0,28.19,0.0,2.92,75.96
298,9.0,6.0,1,0,24.02,3.22,4.97,41.35
299,9.0,6.0,1,0,24.06,3.22,4.93,40.78
300,9.0,6.0,1,0,23.81,2.9,4.97,42.43
301,9.0,6.0,1,0,23.57,3.34,5.05,41.41
302,14.0,5.0,1,0,32.01,0.08,5.89,33.66
303,18.0,2.0,0,0,27.95,0.1,2.91,77.8
304,9.0,6.0,1,0,23.86,3.15,4.97,41.14
305,8.0,0.0,0,0,29.32,0.01,4.53,73.01
306,8.0,0.0,0,0,29.35,0.01,4.42,69.3
307,18.0,2.0,0,0,27.9,0.1,3.12,78.63
308,9.0,6.0,1,0,24.01,3.2,5.0,43.19
309,20.0,4.0,0,1,22.21,7.85,2.01,30.27
310,20.0,4.0,0,1,22.13,8.07,2.11,28.99
311,18.0,2.0,0,0,28.09,0.0,3.01,79.8
312,9.0,6.0,1,0,23.61,3.04,4.99,40.8
313,9.0,6.0,1,0,23.67,3.23,5.03,43.1
314,8.0,0.0,0,0,29.64,0.0,4.41,72.42
315,9.0,6.0,1,0,24.07,3.02,5.06,41.42
316,8.0,0.0,0,0,29.42,0.01,4.6,71.49
317,20.0,4.0,0,1,22.67,7.83,2.0,30.05
318,20.0,4.0,0,1,22.11,8.07,1.99,29.61
319,14.0,5.0,1,0,31.89,0.04,5.96,32.91
320,9.0,6.0,1,0,24.05,3.25,5.13,42.06
321,14.0,5.0,1,0,32.05,0.11,5.92,33.34
322,9.0,6.0,1,0,23.82,3.12,5.06,42.26
323,20.0,4.0,0,1,22.45,7.97,1.94,29.22
324,8.0,0.0,0,0,29.48,0.19,4.5,72.44
325,18.0,2.0,0,0,28.31,0.0,2.97,79.44
326,14.0,5.0,1,0,32.02,0.3,5.93,33.51
327,20.0,4.0,0,1,22.56,7.92,1.99,28.91
328,9.0,6.0,1,0,23.78,3.33,5.02,42.37
329,14.0,5.0,1,0,31.72,0.0,5.96,32.85
330,14.0,5.0,1,0,31.9,0.0,6.02,34.4
331,8.0,0.0,0,0,29.59,0.0,4.55,72.93
332,8.0,0.0,0,0,29.66,0.0,4.55,71.9
333,20.0,4.0,0,1,22.14,8.01,1.87,28.3
334,14.0,5.0,1,0,32.13,0.0,5.95,34.35
335,18.0,2.0,0,0,28.27,0.27,2.99,78.73
336,9.0,6.0,1,0,24.01,3.38,4.93,41.94
337,20.0,4.0,0,1,22.1,7.98,1.93,28.12
338,20.0,4.0,0,1,22.52,8.27,1.93,29.4
339,9.0,6.0,1,0,24.13,3.09,4.99,39.91
340,8.0,0.0,0,0,29.64,0.03,4.49,70.67
341,20.0,4.0,0,1,22.05,7.99,1.89,29.38
342,20.0,4.0,0,1,22.51,8.02,1.97,29.4
343,20.0,4.0,0,1,22.39,8.43,2.03,28.41
344,20.0,4.0,0,1,22.45,7.91,2.07,28.69
345,20.0,4.0,0,1,22.25,8.02,2.05,28.51
346,9.0,6.0,1,0,24.1,3.25,4.92,42.56
347,8.0,0.0,0,0,29.41,0.02,4.62,73.22
348,8.0,0.0,0,0,29.12,0.0,4.48,71.29
349,8.0,0.0,0,0,29.2,0.0,4.46,73.84
350,18.0,2.0,0,0,28.31,0.0,3.01,79.68
351,9.0,6.0,1,0,24.24,3.32,5.09,41.82
352,18.0,2.0,0,0,28.09,0.0,2.99,76.97
353,18.0,2.0,0,0,28.07,0.0,3.07,78.56
354,20.0,4.0,0,1,22.13,7.83,1.98,30.07
355,14.0,5.0,1,0,32.39,0.0,5.97,34.44
356,18.0,2.0,0,0,28.05,0.0,3.04,76.45
357,9.0,6.0,1,0,23.8,3.17,4.98,42.5
358,20.0,4.0,0,1,21.88,8.05,2.03,29.96
359,20.0,4.0,0,1,22.52,8.02,2.11,30.69
360,8.0,0.0,0,0,29.49,0.0,4.5,71.81
361,9.0,6.0,1,0,23.98,3.18,4.99,42.46
362,14.0,5.0,1,0,31.99,0.0,6.0,34.15
363,9.0,6.0,1,0,24.12,3.15,5.08,42.08
364,20.0,4.0,0,1,22.11,8.05,2.19,26.75
365,20.0,4.0,0,1,22.26,8.19,1.92,27.7
366,8.0,0.0,0,0,29.86,0.01,4.55,71.78
367,8.0,0.0,0,0,29.31,0.04,4.65,71.36
368,14.0,5.0,1,0,32.13,0.13,5.93,32.97
369,14.0,5.0,1,0,31.92,0.0,6.0,33.62
370,14.0,5.0,1,0,32.05,0.0,5.88,35.37
371,20.0,4.0,0,1,22.36,8.26,2.01,28.2
372,18.0,2.0,0,0,28.17,0.0,3.08,78.85
373,18.0,2.0,0,0,28.68,0.0,2.87,80.89
374,8.0,0.0,0,0,29.74,0.0,4.49,73.28
375,9.0,6.0,1,0,23.98,3.42,4.93,40.89
376,14.0,5.0,1,0,32.11,0.0,6.05,34.4
377,20.0,4.0,0,1,22.7,8.07,2.08,29.1
378,14.0,5.0,1,0,32.17,0.08,6.05,34.73
379,20.0,4.0,0,1,22.38,8.08,2.02,29.29
380,8.0,0.0,0,0,29.33,0.15,4.53,70.4
381,20.0,4.0,0,1,22.31,8.1,1.97,28.38
382,18.0,2.0,0,0,28.08,0.0,3.03,78.13
383,9.0,6.0,1,0,23.95,3.36,4.94,41.22
384,20.0,4.0,0,1,22.5,8.04,1.89,28.86
385,14.0,5.0,1,0,32.24,0.0,5.78,34.39
386,9.0,6.0,1,0,24.08,3.55,4.89,41.48
387,9.0,6.0,1,0,24.07,3.12,5.0,39.89
388,18.0,2.0,0,0,28.2,0.13,2.95,77.32
389,8.0,0.0,0,0,29.39,0.0,4.57,71.24
390,18.0,2.0,0,0,27.73,0.0,3.01,77.82
391,9.0,6.0,1,0,24.05,3.23,5.06,41.56
392,9.0,6.0,1,0,23.87,3.25,5.01,41.13
393,8.0,0.0,0,0,29.59,0.0,4.51,72.37
394,8.0,0.0,0,0,29.57,0.02,4.49,70.51
395,20.0,4.0,0,1,22.28,7.93,2.0,29.22
396,18.0,2.0,0,0,28.33,0.1,3.02,77.54
397,18.0,2.0,0,0,28.21,0.0,3.07,78.82
398,20.0,4.0,0,1,22.42,7.97,2.03,28.0
399,9.0,6.0,1,0,24.28,3.08,5.01,41.55
400,14.0,5.0,1,0,32.18,0.08,6.02,35.72
401,18.0,2.0,0,0,28.06,0.0,2.82,78.7
402,9.0,6.0,1,0,24.0,3.16,5.0,42.26
403,9.0,6.0,1,0,23.7,3.15,4.97,41.36
404,20.0,4.0,0,1,22.27,7.89,1.92,28.12
405,20.0,4.0,0,1,22.52,7.87,2.04,27.34
406,14.0,5.0,1,0,32.11,0.31,6.03,34.99
407,8.0,0.0,0,0,29.22,0.12,4.47,71.89
408,20.0,4.0,0,1,22.17,7.88,2.12,28.49
409,18.0,2.0,0,0,28.13,0.0,3.01,77.27
410,14.0,5.0,1,0,31.78,0.0,5.97,33.87
411,18.0,2.0,0,0,27.9,0.0,3.0,79.29
412,9.0,6.0,1,0,24.2,3.28,4.99,42.13
413,8.0,0.0,0,0,29.56,0.1,4.42,72.14
414,14.0,5.0,1,0,31.88,0.2,6.05,34.39
415,18.0,2.0,0,0,28.07,0.0,3.08,79.09
416,20.0,4.0,0,1,22.22,8.09,1.89,29.07
417,14.0,5.0,1,0,31.91,0.0,6.04,34.98
418,8.0,0.0,0,0,29.5,0.09,4.49,71.03
419,8.0,0.0,0,0,29.76,0.0,4.52,73.38
420,9.0,6.0,1,0,24.11,3.17,5.04,40.4
421,9.0,6.0,1,0,24.01,2.99,4.96,42.48
422,20.0,4.0,0,1,22.67,7.96,1.97,27.94
423,14.0,5.0,1,0,32.0,0.1,5.79,36.25
424,9.0,6.0,1,0,24.04,3.22,5.01,42.3
425,18.0,2.0,0,0,27.77,0.25,2.94,79.66
426,18.0,2.0,0,0,27.91,0.11,3.12,78.36
427,20.0,4.0,0,1,22.59,8.02,1.94,27.24
428,18.0,2.0,0,0,28.07,0.14,2.99,80.45
429,9.0,6.0,1,0,23.88,3.08,5.05,40.03
430,8.0,0.0,0,0,29.25,0.0,4.49,73.36
431,14.0,5.0,1,0,31.91,0.15,6.07,34.96
432,14.0,5.0,1,0,31.48,0.2,5.99,34.88
433,8.0,0.0,0,0,29.38,0.01,4.42,71.19
434,14.0,5.0,1,0,32.2,0.0,5.92,36.06
435,18.0,2.0,0,0,27.91,0.0,3.06,79.49
436,14.0,5.0,1,0,32.13,0.0,5.92,34.35
437,18.0,2.0,0,0,27.95,0.08,3.03,80.34
438,18.0,2.0,0,0,27.7,0.0,3.01,79.4
439,20.0,4.0,0,1,22.31,7.85,1.84,28.76
440,18.0,2.0,0,0,28.29,0.16,3.06,78.82
441,20.0,4.0,0,1,22.22,8.11,1.96,29.15
442,9.0,6.0,1,0,24.19,3.35,5.05,41.79
443,14.0,5.0,1,0,32.23,0.0,6.06,33.97
444,14.0,5.0,1,0,31.73,0.0,6.06,34.79
445,8.0,0.0,0,0,29.08,0.21,4.49,70.3
446,14.0,5.0,1,0,32.03,0.04,6.08,35.73
447,14.0,5.0,1,0,31.86,0.0,6.03,34.01
448,14.0,5.0,1,0,31.76,0.11,5.97,33.77
449,20.0,4.0,0,1,22.12,7.79,1.89,29.74
450,20.0,4.0,0,1,22.2,7.73,1.92,29.87
451,9.0,6.0,1,0,23.9,3.25,5.05,42.38
452,9.0,6.0,1,0,23.83,3.05,5.02,41.65
453,20.0,4.0,0,1,22.37,8.01,1.9,28.85
454,8.0,0.0,0,0,29.3,0.0,4.44,71.62
455,18.0,2.0,0,0,28.27,0.0,3.01,79.31
456,20.0,4.0,0,1,22.61,7.9,1.94,28.51
457,20.0,4.0,0,1,22.44,7.82,2.06,30.18
458,9.0,6.0,1,0,24.38,3.05,4.9,43.17
459,8.0,0.0,0,0,29.51,0.0,4.48,70.64
460,9.0,6.0,1,0,24.13,3.43,4.94,42.42
461,18.0,2.0,0,0,28.1,0.0,3.02,78.52
462,9.0,6.0,1,0,24.05,3.25,4.8,42.3
